fid,%canopy,NO2_mean,LST_mean,NDVImean,Road%,Imp%,BD,Income,road distance (meters),nearest_L,nearest_M,petrochem_distance,Distance_M,GS%,weightNO2
50,0,3.78E-05,40.34,-0.22,0,99.12,94.97,68245,394.47,30,30,2117.74,703.4328342,0,0.08
125,3.1,2.74E-05,37.63,-0.15,0,69.64,51.36,68640,506.96,20,20,24826.5,106.2188965,20.93954651,0.68
222,1.13,2.75E-05,37.89,-0.2,1.84,78.87,74.84,68640,694.28,20,20,24973.99,36.4666387,14.00292334,0.69
93,4.26,2.65E-05,35.56,-0.18,6.68,95.42,18.82,69796,121.54,20,20,29467.52,509.5183067,0,0.78
155,5.69,2.65E-05,35.75,-0.11,13.64,78.02,40.09,69796,12.71,20,20,29911.87,851.0872142,0,0.79
224,2.42,2.65E-05,35.9,-0.15,0,79.48,71.14,69796,108.48,20,20,31160.63,426.6171958,0,0.83
37,46.27,2.03E-05,31.18,0.03,0,58.8,22.76,70925,121.7,20,20,38979.27,371.2328356,0,0.79
72,1.91,2.25E-05,30.48,0.1,0,22.24,22.24,70925,697.32,20,20,38527.07,1320.112,0,0.87
245,0.42,2.25E-05,31.85,-0.17,0,94,80.25,70925,217.88,20,20,38800.03,859.3248011,0,0.87
86,99.36,2.28E-05,24.96,0.42,0,0,0,70925,1058.65,20,20,38424.75,1445.434126,0,0.88
14,14.84,3.11E-05,33.55,0.24,0,18.62,1.12,72985,509.88,5,5,12655.88,0,10.79690328,0.39
147,1.44,2.92E-05,33.41,-0.11,0,99.95,39.23,73841,1379.21,20,20,31596.84,17.28818448,6.084268319,0.92
158,1.44,2.92E-05,33.41,-0.11,0,99.95,39.23,73841,1379.21,20,20,31596.84,17.28818448,6.084268319,0.92
187,0.09,2.10E-05,41.69,-0.2,0,100.01,95.06,76204,440.67,15,15,19453,1904.459312,0,0.41
2,1.1,3.06E-05,38.4,-0.13,6.07,95.2,40.9,76204,270.69,25,25,18903.83,1413.417913,0,0.58
1,0,3.17E-05,38.57,-0.16,0,100,95.05,76204,343.94,25,25,18758.93,1237.444546,0,0.60
56,0,3.17E-05,41.32,-0.17,0,100.01,98.73,76204,185.22,10,10,18052.11,272.8744038,0.420787049,0.57
57,0,3.17E-05,40.98,-0.19,0,99.99,95.27,76204,115.63,25,10,18529.35,943.8544886,0,0.59
183,0,3.17E-05,40.35,-0.22,0,99.99,93.02,76204,244.86,15,15,16392.26,583.7610892,0.936635373,0.52
217,0,3.17E-05,39.31,-0.2,0,100,75.62,76204,653.63,10,10,18617.67,496.2265306,0,0.59
248,0,3.17E-05,39.21,-0.18,0,99.6,82.47,76204,393.47,15,15,18547.91,734.8954367,0,0.59
177,2.05,2.65E-05,34.89,-0.02,8.95,44.33,29.71,78071,198.41,20,20,31461.34,413.2774995,0,0.83
63,32.73,2.10E-05,35.36,0.02,9.36,65.9,25.6,79279,232.05,15,15,20049.27,454.85704,0.279915437,0.42
75,37.75,2.10E-05,33.12,0.09,9.13,33.62,19.68,79279,964.44,15,15,20009.41,191.2909181,3.076088614,0.42
82,15.73,2.10E-05,33.83,0.14,8.2,45.07,8.63,79279,493.68,15,15,19874.83,371.2936952,0.541734765,0.42
96,37.75,2.10E-05,33.12,0.09,9.13,33.62,19.68,79279,964.44,15,15,20009.41,191.2909181,3.076088614,0.42
