fid,%canopy,NO2_mean,NO2_stdev,LST_mean,LST_stdev,NDVImean,Road%,Imp%,BD,REDNO2_mean,petrochem_distance
169,1.721409301,3.96E-05,0,35.19506788,1.025955816,-0.200874681,0,99.98750395,34.75442085,NA,438.18
170,0.818952334,2.65E-05,0,35.90065479,0.789841385,-0.246938542,0.194327673,98.03137055,33.44518051,2.65E-05,31092.46
171,16.44259128,3.17E-05,0,34.86859107,0.181536535,-0.026949857,16.11637693,62.05013339,31.44151054,3.17E-05,12736.12
172,6.503594606,2.21E-05,0,36.14213538,0.590424964,-0.095675759,21.28764638,70.03337201,34.35730342,NA,5124.14
173,3.768870686,2.82E-05,0,37.08616376,0.122378651,-0.166773234,19.35103402,94.67986193,29.27642091,2.82E-05,22728.28
174,5.434612293,2.23E-05,6.78E-21,38.00585508,0.671795555,-0.10333366,8.495485883,96.33769939,32.18428761,2.23E-05,16111.17
175,10.68134492,2.75E-05,0,35.74543858,0.667806057,-0.067817475,10.48007202,64.99032739,31.21118136,2.75E-05,23949.09
176,23.35613004,2.97E-05,2.41E-07,34.94338131,0.143664784,-0.062910545,27.03480728,69.15913216,29.13095922,2.97E-05,11793.29
177,2.05430383,2.65E-05,0,34.88989234,0.560113592,-0.022214499,8.952878178,44.33409752,29.71106316,2.65E-05,31461.34
178,15.40844136,2.10E-05,0,36.45909357,0.362228746,-0.077279096,0.298451792,74.95998497,29.30380153,2.10E-05,18965.72
179,0,3.96E-05,0,39.45924067,0.951191663,-0.215980976,0,100.0087387,94.63625369,NA,397.03
180,0,2.78E-05,6.78E-21,39.17240024,0.326150073,-0.218377881,0,90.93543669,90.93543669,2.78E-05,21247.86
181,1.068895259,2.24E-05,1.36E-06,42.3040626,1.655989942,-0.186069266,0,99.96947027,89.27357679,2.24E-05,19923.53
182,0.353947721,2.65E-05,0,35.46277285,1.18010006,-0.229676264,0,98.98043912,94.21949527,2.65E-05,34498.16
183,0,3.17E-05,0,40.35418916,1.723683567,-0.220823279,0,99.98701502,93.01860164,3.17E-05,16392.26
184,0.124939228,3.02E-05,0,31.84907007,0.284159818,0.07483368,0,99.97914689,91.21951877,NA,5762.29
185,0,3.95E-05,2.03E-20,39.34067416,0.653375433,-0.201385914,0,99.95266044,89.94351208,NA,205.75
186,0,3.02E-05,6.78E-21,43.60169148,1.060575888,-0.234352247,0,100.0378047,93.79802215,3.02E-05,11013.64
187,0.090228624,2.10E-05,1.36E-20,41.68961835,1.164625521,-0.198021155,0,100.0149594,95.05932573,2.10E-05,19453
188,0,3.10E-05,0,39.3256402,0.949462704,-0.150927928,0,99.986357,99.986357,NA,5547.1
189,0,2.75E-05,1.69E-20,41.59612823,0.731336849,-0.225309061,0,99.67700974,98.51789403,2.75E-05,22549.84
190,0.583030448,2.10E-05,0,42.1798594,1.272151387,-0.204915493,0,99.99666261,93.24322659,2.10E-05,20612.96
191,0.3886947,3.01E-05,6.78E-21,39.31349349,0.496583218,-0.164534322,4.129881184,99.82512804,64.96754266,3.01E-05,8644.58
192,0,3.96E-05,0,38.89290357,0.864012511,-0.212829925,0,99.98111024,65.63603016,NA,488.69
193,0.270691012,3.17E-05,0,39.53516078,1.566566954,-0.230316819,0,99.87110167,66.6455152,3.17E-05,12500.44
194,2.901345409,3.95E-05,6.78E-21,36.63166857,0.341720762,-0.151108056,0,98.59715677,65.53708935,NA,1176.21
195,3.775830487,2.21E-05,0,38.56632185,1.803140146,-0.113642875,0,84.89371817,66.86135125,NA,5273.23
196,1.055023655,2.11E-05,6.78E-21,39.03560376,0.499642152,-0.161971041,0,96.25008567,66.74412806,2.11E-05,17006.59
