fid,%canopy,NO2_mean,NO2_stdev,LST_mean,LST_stdev,NDVImean,Road%,Imp%,BD,CTUID,Borough,Income,road distance (meters),river distance (meters),nearest_L,nearest_M,petrochem_distance,Distance_M,GS%
129,2.23,2.92E-05,1.02E-20,36.89,0.38,-0.17,15.06,99.44,52.5,4620187.04,Rosemont-La-Petite-Patrie,52436,449.74,2012.52,5,5,8165.73,0,15.32878395
130,0.04,2.25E-05,0.00E+00,39.21,0.55,-0.2,0,100.03,52.39,4620395.01,Lachine,23621,423.8,1980.57,20,20,22184.07,1403.432321,0
131,6.46,3.02E-05,3.39E-21,37.81,0.83,-0.17,11.04,85.53,49.29,4620303,Verdun,29341,366.16,1307.73,15,15,16789.8,28.56335067,1.524653383
132,9.63,2.91E-05,0.00E+00,34.14,0.64,-0.12,0.47,95.62,54.82,4620351,Westmount,48088,406.23,2990.22,15,10,14418.09,246.8266086,1.925514487
133,0.07,3.17E-05,0.00E+00,36.5,0.2,-0.2,28.93,92.19,50.34,4620267,Ahuntsic-Cartierville,38918,498.94,2283.49,10,10,12103.67,346.1082879,0
134,2.44,2.75E-05,2.52E-08,36.39,0.42,-0.16,1.46,86.12,48.04,4620452,Pointe-Claire,52307,75.61,2906.05,20,20,27944.6,472.4802251,0
135,8.41,2.86E-05,3.06E-07,35.08,1.45,-0.16,0.01,86.74,46.02,4620083,Le Sud-Ouest,34290,448.55,2034.86,15,15,16466.32,107.4412485,7.024716111
136,1.98,3.96E-05,0.00E+00,33.78,1.05,-0.18,0,98.61,47.89,4620009,Mercier-Hochelaga-Maisonneuve,38773,242.84,733.52,15,10,3387.38,425.3407593,0
137,8.3,3.02E-05,0.00E+00,38.56,1.14,-0.13,12.87,89.68,49.34,4620256,Villeray-Saint-Michel-Parc-Extension,33595,253.11,3153.42,5,5,8002.48,0,39.47133323
138,9.63,2.91E-05,0.00E+00,32.13,0.79,-0.11,6.9,95.93,45.57,4620360,Outremont,139132,1268.27,4381.65,5,5,12662.59,0,28.30244973
139,3.71,2.65E-05,0.00E+00,35.66,0.82,-0.18,0,92.75,48.66,4620470.03,Kirkland,105679,476.27,2191.5,20,20,32967.59,269.1002991,0.669768901
140,1.16,2.10E-05,1.35E-08,35.63,0.52,-0.14,11.39,77.34,45.42,4620326.02/4620326.03,LaSalle,40953.6,340.8,2039.25,15,15,21027.9,193.6307212,0.107201611
141,0.39,2.65E-05,0.00E+00,34.22,0.55,-0.1,3.59,81.78,48.78,4620491,Saint-Anne-de-Bellevue,86211,873.61,2120.23,20,20,35632.81,38.936239,1.286393196
142,0,3.87E-05,4.97E-07,37.16,0.41,-0.19,0,99.98,47.77,4620570,Montréal-Est,38802,728.29,3389.69,10,10,710.29,534.9761571,0
143,15.49,2.17E-05,0.00E+00,34.9,0.55,-0.07,5.25,69.09,45.09,4620127.01/4620126,Côte-des-Neiges-Nôtre-Dame-de-Grâce,33662.95,333.11,5172.14,10,5,14320.61,22.61809076,4.340986214
144,6.46,3.02E-05,3.39E-21,37.81,0.83,-0.17,11.04,85.53,49.29,4620303,Verdun,29341,366.16,1307.73,15,15,16789.8,28.56335067,1.524653383
145,0.06,3.02E-05,0.00E+00,38.85,0.65,-0.18,10.09,100.01,49.12,4620611.01,Montréal-Nord,40263,479.1,1890.2,15,15,5678.22,94.8221576,5.751559719
