fid,%canopy,NO2_mean,NO2_stdev,LST_mean,LST_stdev,NDVImean,road_dens_sum,Road%,Imp%,BD,MayNO2_mean,OctNO2_mean
235,0,2.21E-05,0,37.87245941,0.8853231972,-0.1987797743,0,0,100.0041737,86.04606753,4.35E-05,5.97E-05
236,1.853201596,3.02E-05,6.78E-21,37.75997543,0.5958656242,-0.1948499651,6,0.04164497969,99.42044819,87.94725628,6.12E-05,6.93E-05
237,0,2.75E-05,0,38.22422934,0.8184858105,-0.2821299922,0,0,99.99670795,81.30631827,3.62E-05,7.30E-05
238,2.380685334,3.17E-05,6.78E-21,38.32053399,0.7068931,-0.1900724812,328,2.27657373,100.0026656,79.44409425,6.36E-05,6.88E-05
239,0.4025717018,2.37E-05,0,40.09950542,0.3478679742,-0.2084608928,0,0,100.0182452,84.54699828,5.80E-05,5.80E-05
24,0,3.96E-05,0,34.91832423,0.3402617408,-0.152685006,0,0,99.99424299,10.85596252,5.71E-05,5.94E-05
240,0,2.91E-05,0,34.88720036,0.617042248,-0.2158974146,274,1.901842626,90.23340928,84.37517871,7.04E-05,6.75E-05
241,0.1526899628,2.75E-05,0,39.30831146,0.8092503559,-0.2329557222,0,0,96.47923515,84.73598892,4.59E-05,7.81E-05
242,0.02776344234,3.02E-05,0,37.67332172,1.483057493,-0.1891566586,0,0,99.04608054,81.82580543,6.19E-05,6.39E-05
243,0.7287749547,2.10E-05,0,38.88229752,0.8098945771,-0.2017421783,0,0,82.72636843,82.72636843,6.23E-05,5.44E-05
244,1.36044939,3.96E-05,0,36.86045027,0.6211919595,-0.1221634171,0,0,99.99997127,80.02357665,6.23E-05,6.34E-05
245,0.4233406772,2.25E-05,3.39E-21,31.85077322,0.874809761,-0.1742356205,0,0,93.99551037,80.25428839,2.75E-05,5.58E-05
246,0,2.11E-05,6.78E-21,37.16498995,1.167654154,-0.1820814186,0,0,99.98386321,79.54287208,5.74E-05,5.96E-05
247,2.137833465,2.91E-05,0,35.51440334,0.523604673,-0.2325380115,1081,7.503240182,97.79894003,86.14497123,7.23E-05,6.69E-05
248,0,3.17E-05,0,39.20537972,0.7423719772,-0.1808870929,0,0,99.59786556,82.46842081,5.50E-05,6.95E-05
249,2.137751625,2.23E-05,6.78E-21,38.73253083,1.207911658,-0.1844676172,526,3.650835567,97.69802556,82.31731906,6.54E-05,6.55E-05
25,0.2498781257,2.91E-05,0,35.07773256,0.44682456,-0.2472463505,1524,10.57817399,92.87137006,76.77505413,6.52E-05,6.45E-05
26,21.84352748,2.91E-05,0,36.0284164,0.4905872204,-0.07421597863,643,4.463103963,96.77925125,90.9556988,6.94E-05,6.38E-05
27,17.69944447,2.95E-05,2.92E-07,33.33897722,0.9968570536,0.0586528276,3104,21.54473554,61.4344247,5.740172774,6.66E-05,6.70E-05
28,1.020327582,3.78E-05,0,37.34066677,0.7473438834,-0.1553773154,135,0.9370355347,99.03424451,69.79179482,4.62E-05,5.49E-05
29,5.84430227,3.02E-05,0,34.74383521,0.2048916022,-0.1307433498,559,3.880005901,83.7984101,59.61604774,6.54E-05,6.73E-05
3,0,2.10E-05,0,35.97037792,0.1377577281,-0.04101951335,0,0,100.0087433,1.70047485,6.33E-05,6.21E-05
30,9.640978976,3.02E-05,0,32.87050343,0.7034890612,0.2499449724,1049,7.281056117,22.99536598,0,5.82E-05,6.68E-05
31,54.81947858,2.91E-05,0,28.60582948,0.3342613704,0.241877875,385,2.672258705,31.45630247,2.845781998,6.48E-05,6.51E-05
32,42.73839071,2.65E-05,0,29.55701184,0.1838431755,0.1717539647,1126,7.814782062,22.1812109,14.36642883,3.86E-05,6.14E-05
33,4.546226532,2.21E-05,0,34.47739005,0.2623161437,-0.02387745063,6058,42.04738981,67.04122453,3.553691579,5.43E-05,6.44E-05
34,0,3.95E-05,6.78E-21,42.34712911,0.7079356231,-0.2185166142,0,0,99.99937428,95.2031247,6.39E-05,6.09E-05
35,0.02776297471,2.23E-05,6.78E-21,40.53318334,0.7878572384,-0.1737846185,0,0,100.0161164,96.91360396,6.54E-05,6.55E-05
36,44.38859049,2.39E-05,2.54E-06,26.50307226,0.4587880228,0.4213869348,0,0,1.138168987,1.138168987,3.05E-05,5.77E-05
37,46.26907719,2.03E-05,1.30E-06,31.18462372,1.714412874,0.02689286155,0,0,58.7958035,22.7563078,2.69E-05,5.48E-05
38,20.723167,2.65E-05,0,31.26272154,1.471489497,0.01705114756,343,2.380457563,73.09323339,44.59714373,3.33E-05,5.66E-05
39,9.223301464,1.95E-05,0,32.81168699,0.3346814952,-0.04177814104,2463,17.09329684,56.87355568,24.01250795,2.76E-05,4.55E-05
4,13.55526409,2.10E-05,0,35.39314508,0.5352047379,0.0005922153884,813,5.642821149,42.80354001,34.23172682,6.39E-05,6.24E-05
40,37.10884031,2.92E-05,0,31.05073941,0.3494928648,0.1722154177,0,0,3.921169773,3.921169773,3.42E-05,5.17E-05
41,9.959112202,2.92E-05,0,29.93968296,0.6058329629,0.1503537197,0,0,21.87534611,9.008311943,3.49E-05,5.18E-05
